237,124,736,511,155,4
238,119,734,527,156,4
241,119,736,547,155,4
240,122,735,567,153,4
235,119,735,583,148,4
231,120,731,598,147,4
231,124,733,609,148,4
229,121,736,614,151,4
229,123,735,619,151,4
232,127,731,615,152,4
228,124,734,617,153,4
228,124,729,613,155,4
228,124,728,609,157,4
224,119,730,605,155,4
224,116,732,591,155,4
222,116,733,579,150,4
223,109,729,566,151,4
220,102,737,561,155,4
221,99,739,558,157,4
223,95,740,550,163,4
222,94,751,536,160,4
222,94,749,513,156,4
223,94,738,480,153,4
222,94,745,451,149,4
221,94,742,448,150,4
220,94,741,453,153,4
223,94,748,472,153,4
225,93,750,504,159,4
223,96,750,506,161,4
224,97,751,496,160,4
225,100,753,473,164,4
225,103,755,449,163,4
226,105,758,424,162,4
228,107,763,401,163,4
230,109,757,389,161,4
228,106,760,375,160,4
228,105,760,367,162,4
227,105,754,363,161,4
224,102,756,361,161,4
225,104,754,360,162,4
224,101,749,394,159,4
225,102,748,435,164,4
223,98,740,480,165,4
221,100,732,523,157,4
219,102,723,548,159,4
218,104,719,570,157,4
218,106,715,596,150,4
220,109,708,613,159,4
219,108,705,641,163,4
218,107,702,644,167,4
220,106,699,653,173,4
220,105,698,652,173,4
221,108,693,640,178,4
223,114,697,651,176,4
222,120,698,649,175,4
221,124,696,646,174,4
220,128,705,666,175,4
222,127,708,643,177,4
222,132,711,652,176,4
221,128,713,637,176,4
220,125,729,642,177,4
216,125,736,645,177,4
212,120,741,641,181,4
211,126,756,647,182,4
210,129,767,626,184,4
210,130,783,611,184,4
204,135,801,612,183,4
203,130,815,621,186,4
199,131,825,621,182,4
201,146,834,636,184,4
203,150,842,645,180,4
205,158,848,643,180,4
207,158,850,665,180,4
210,158,854,652,181,4
209,152,851,680,185,4
209,147,851,690,184,4
207,145,849,645,185,4
212,140,840,629,184,4
207,134,843,614,184,4
207,127,844,606,183,4
212,125,844,610,188,4
214,125,848,610,186,4
219,128,842,646,186,4
224,132,842,651,192,4
225,138,834,662,192,4
221,139,834,687,192,4
221,139,836,680,193,4
220,140,836,664,191,4
218,138,835,653,191,4
218,137,836,636,189,4
216,133,831,635,190,4
215,134,830,626,191,4
214,134,830,631,189,4
215,134,829,637,190,4
216,136,832,633,191,4
220,137,833,643,192,4
221,140,836,646,191,4
223,141,845,651,192,4
224,142,851,660,194,4
222,141,857,662,191,4
221,140,859,664,189,4
221,139,860,666,187,4
223,140,859,668,189,4
223,139,860,668,188,4
223,138,862,670,185,4
223,139,863,667,185,4
224,139,867,673,184,4
223,137,863,691,182,4
219,137,864,702,184,4
218,139,857,708,187,4
217,137,857,722,186,4
216,137,860,724,188,4
217,138,859,724,188,4
218,137,861,727,188,4
219,138,866,738,189,4
217,137,861,709,187,4
217,136,858,706,184,4
217,136,856,723,181,4
219,135,856,701,182,4
222,138,859,698,179,4
220,134,854,690,179,4
221,132,851,707,180,4
220,129,847,684,179,4
219,128,841,705,181,4
220,128,841,706,183,4
219,127,838,696,181,4
221,129,837,732,182,4
221,130,829,719,186,4
220,128,827,720,183,4
220,128,824,737,182,4
219,127,820,725,181,4
219,127,822,706,180,4
220,128,821,700,178,4
219,128,820,696,177,4
220,131,814,685,180,4
219,129,814,671,178,4
218,127,810,670,179,4
220,128,811,672,180,4
218,124,809,689,177,4
217,126,808,700,176,4
218,126,808,717,176,4
217,124,807,717,174,4
216,123,807,705,173,4
220,126,811,719,176,4
218,122,809,715,172,4
218,123,809,718,173,4
219,126,809,718,173,4
218,124,808,717,174,4
220,127,811,719,178,4
221,129,811,719,180,4
221,129,812,713,183,4
222,129,813,708,184,4
224,131,805,699,186,4
222,129,807,696,185,4
222,129,806,687,187,4
222,129,806,678,189,4
222,128,810,672,185,4
222,128,810,666,186,4
222,128,810,667,184,4
224,131,804,679,186,4
222,128,805,689,185,4
221,129,805,683,185,4
221,129,806,697,185,4
219,129,808,693,184,4
220,129,806,693,185,4
219,129,808,695,187,4
219,126,804,693,185,4
