16,-12,249,-891,-108,-741,825,-579,1545,1
17,-16,241,-888,-38,-722,826,-562,1523,1
16,-8,245,-837,-44,-721,826,-562,1523,1
16,-4,245,-896,-72,-737,805,-575,1495,1
18,-4,244,-916,-39,-756,832,-578,1522,1
18,-5,248,-936,-22,-777,832,-578,1522,1
17,-5,247,-953,-23,-769,795,-565,1553,1
18,-4,246,-956,-25,-769,795,-565,1553,1
18,-6,242,-982,-45,-766,794,-570,1517,1
18,-10,243,-970,-62,-775,790,-553,1526,1
16,-10,247,-968,-41,-750,790,-553,1526,1
15,-5,246,-919,-37,-739,818,-559,1535,1
16,-8,244,-961,-25,-761,822,-547,1502,1
15,-8,241,-931,-10,-754,822,-547,1502,1
15,-8,242,-907,-34,-757,811,-566,1505,1
16,-6,243,-923,-55,-764,811,-566,1505,1
17,-7,243,-867,-58,-771,842,-541,1531,1
20,-7,244,-902,-75,-745,870,-531,1542,1
19,-4,245,-874,-71,-738,870,-531,1542,1
19,-4,246,-911,-41,-738,855,-543,1521,1
19,-3,243,-910,-47,-734,834,-553,1492,1
20,-4,246,-929,-49,-737,834,-553,1492,1
20,0,245,-899,-52,-727,852,-528,1495,1
20,0,247,-929,-39,-742,852,-528,1495,1
20,0,248,-948,-32,-764,834,-509,1489,1
19,-1,244,-930,-33,-739,823,-509,1498,1
21,-1,244,-912,-26,-742,823,-509,1498,1
21,3,245,-960,-43,-733,857,-548,1481,1
19,1,245,-940,-62,-752,855,-547,1497,1
19,-3,242,-990,-30,-744,855,-547,1497,1
20,1,243,-928,-48,-743,851,-549,1578,1
20,2,242,-961,-37,-748,851,-549,1578,1
21,-1,243,-937,-41,-734,827,-533,1509,1
22,0,244,-877,-63,-743,847,-563,1491,1
22,2,247,-929,-63,-744,847,-563,1491,1
22,2,246,-921,-41,-755,816,-549,1544,1
23,2,247,-970,-9,-766,839,-553,1482,1
21,1,246,-981,24,-795,839,-553,1482,1
17,0,241,-943,28,-804,828,-549,1492,1
20,-2,241,-959,-6,-774,828,-549,1492,1
19,-3,243,-959,48,-781,845,-503,1488,1
16,0,247,-969,77,-783,799,-503,1535,1
13,-1,246,-997,180,-802,799,-503,1535,1
6,-3,241,-961,164,-801,782,-522,1590,1
1,-4,241,-979,117,-803,742,-491,1610,1
0,-7,238,-988,2,-777,742,-491,1610,1
2,-6,240,-971,-48,-765,769,-475,1608,1
3,-8,240,-938,-72,-759,741,-479,1637,1
6,-6,242,-901,-44,-759,741,-479,1637,1
3,-4,239,-920,-46,-761,744,-437,1703,1
3,-6,242,-934,41,-813,744,-437,1703,1
-1,-4,244,-925,-27,-796,780,-457,1660,1
-1,-3,243,-941,-66,-773,720,-441,1614,1
1,-6,240,-958,-73,-787,720,-441,1614,1
3,-6,240,-944,-85,-778,718,-438,1596,1
4,-6,242,-938,-128,-754,749,-420,1610,1
5,-6,241,-937,-156,-742,749,-420,1610,1
8,-5,243,-939,-100,-755,769,-436,1591,1
10,-6,243,-950,-96,-756,772,-422,1510,1
10,-6,242,-934,-58,-743,772,-422,1510,1
11,-5,244,-959,-61,-760,793,-445,1529,1
11,-5,244,-954,-70,-756,793,-445,1529,1
13,-7,246,-969,-51,-774,798,-417,1530,1
12,-8,244,-981,-35,-738,807,-397,1533,1
11,-7,243,-903,-38,-760,807,-397,1533,1
12,-7,243,-959,-68,-738,798,-409,1593,1
13,-7,242,-920,-54,-753,799,-379,1573,1
14,-5,246,-986,-70,-742,799,-379,1573,1
14,-7,246,-989,-45,-751,820,-387,1531,1
12,-10,241,-971,-62,-751,820,-422,1508,1
14,-12,241,-964,-111,-735,805,-422,1508,1
18,-9,242,-947,-130,-731,832,-385,1498,1
20,-11,244,-956,-154,-735,832,-385,1498,1
22,-8,246,-925,-157,-713,846,-405,1476,1
24,-12,244,-944,-215,-699,868,-448,1391,1
26,-9,245,-919,-332,-652,868,-448,1391,1
37,-9,248,-854,-309,-628,877,-423,1412,1
39,-4,244,-897,-197,-646,967,-450,1352,1
41,-4,242,-993,-289,-644,967,-450,1352,1
49,-9,244,-909,-267,-696,961,-512,1273,1
