6514,-4650,1600,3.325,-4.235,-5.32,3914,-2110,-6457,3.57,-4.34,0.21,4445,-5783,-3467,2.625,1.575,-0.91,5835,-5283,-1017,0.91,-3.255,-2.975,6426,-4556,-674,0.35,-0.77,-2.66,5011,-6244,-336,3.605,-6.545,-7.14,1
6577,-4822,1673,2.8,-3.43,-3.815,3837,-2242,-6611,2.1,-3.115,-1.19,4516,-6076,-3337,2.8,1.47,0.805,5942,-5538,-834,1.4,-3.22,-2.24,6572,-4740,-475,-0.035,-1.75,-2.17,5144,-6435,-224,3.115,-7.035,-6.37,1
6539,-4832,1720,3.85,-5.075,-3.675,3969,-2134,-6499,2.205,-2.59,-1.925,4450,-6170,-3348,5.915,1.82,1.47,5958,-5704,-775,0.455,-2.94,-2.73,6612,-4812,-407,-0.42,-1.855,-2.555,5181,-6441,-153,1.785,-7.035,-6.195,1
6526,-4741,1666,3.045,-4.865,-4.025,3924,-2130,-6515,0.805,-2.1,-1.96,4430,-5987,-3383,2.1,1.785,1.155,5874,-5394,-877,1.085,-2.8,-1.68,6501,-4628,-485,0.315,-0.735,-1.33,5121,-6357,-250,3.64,-6.965,-6.405,1
6533,-4669,1651,3.955,-5.11,-5.635,3962,-2209,-6453,2.135,-2.205,-1.855,4545,-5934,-3272,1.82,-0.105,-0.56,5927,-5378,-859,0.805,-4.795,-2.485,6511,-4607,-556,-0.175,-2.135,-1.295,5052,-6317,-327,2.065,-7.63,-5.145,1
6504,-4677,1664,3.325,-5.74,-2.73,3955,-2004,-6381,0.28,-4.095,-1.715,4338,-6148,-3520,3.71,1.75,2.555,5901,-5422,-924,1.4,-2.24,-0.805,6393,-4534,-667,-2.765,-3.815,-1.225,4988,-6380,-349,2.24,-5.845,-6.09,1
6520,-4770,1650,3.15,-7.245,-4.41,4040,-2094,-6447,0.875,-3.675,-2.87,4313,-6084,-3457,2.17,-0.315,0.945,5813,-5527,-928,0.49,-3.99,-1.645,6484,-4777,-632,-0.91,-3.395,-1.47,5080,-6383,-353,2.415,-8.085,-5.74,1
6561,-4773,1705,2.8,-5.25,-3.885,4024,-2294,-6347,0.805,-3.745,-1.33,4470,-6025,-3308,2.8,0.84,2.485,5925,-5512,-807,0.77,-3.85,-0.49,6612,-4602,-518,-1.05,-4.165,-0.56,5195,-6361,-323,-3.64,-7.21,-5.355,1
6560,-4743,1750,4.025,-6.37,-4.235,4156,-1875,-6189,2.275,-3.57,-2.38,4438,-6095,-3219,3.185,-0.35,1.435,5913,-5510,-780,0.945,-4.935,-1.365,6557,-4645,-721,-0.28,-5.95,-1.855,5221,-6542,-523,-3.815,-5.005,-8.12,1
6527,-4840,1735,4.34,-5.635,-4.2,4037,-2326,-6317,0.245,-0.665,-4.48,4477,-6138,-3160,1.75,-0.385,1.785,5869,-5463,-876,0.63,-4.48,-0.805,6501,-4474,-763,-3.535,-3.745,1.19,5106,-6097,-778,0.42,-5.81,-4.725,1
